"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","518","Update User one data","Google Chrome","Fri Feb 14 18:08:36 GMT 2025","passed","Fri Feb 14 18:08:36 GMT 2025","","RestApi.spec.js","",""
"","4055","Check the login invalid credentials sazidahmednx233@yopmail.com","Google Chrome","Sat Dec 28 07:11:53 GMT 2024","passed","Sat Dec 28 07:11:57 GMT 2024","","LoginwithMultiple.spec.js","",""
"","24280","Special Locator Pratcice","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:00 GMT 2025","","NewLoca.spec.js","",""
"","25288","Check the login invalid credentials","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:00 GMT 2025","","LoginTestJSON.spec.js","",""
"","24988","Check the login valid credentials","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:00 GMT 2025","","LoginTestJSON.spec.js","",""
"","2","Check the login valid credentials sazidahmednx233@yopmail.com","Google Chrome","Sat Dec 28 07:11:52 GMT 2024","skipped","Sat Dec 28 07:11:52 GMT 2024","","LoginwithMultiple.spec.js","",""
"","6416","Child window","Google Chrome","Fri Feb 14 18:09:07 GMT 2025","passed","Fri Feb 14 18:09:14 GMT 2025","","WindowHand.spec.js","",""
"","4606","Assetions Pratice","Google Chrome","Tue Dec 31 10:05:58 GMT 2024","passed","Tue Dec 31 10:06:03 GMT 2024","","Assertionpra.spec.js","",""
"","29355","Place Order","Google Chrome","Fri Feb 14 18:08:36 GMT 2025","passed","Fri Feb 14 18:09:06 GMT 2025","","WebApi2.spec.js","",""
"","10733","full page screenshot","Google Chrome","Tue Dec 31 10:06:48 GMT 2024","passed","Tue Dec 31 10:06:59 GMT 2024","","Visualtest.spec.js","",""
"","17652","test","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:08:52 GMT 2025","","Firsttest.spec.js","",""
"","414","Get User","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:08:36 GMT 2025","","RestApi.spec.js","",""
"","1886","Place Order","Google Chrome","Fri Feb 14 18:09:07 GMT 2025","failed","Fri Feb 14 18:09:09 GMT 2025","","WebApi3.spec.js","",""
"","25276","Check the login invalid credentials sazidahmednx23@yopmail.com","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:00 GMT 2025","","LoginwithMultiple.spec.js","",""
"","12333","Mouse Hover","Google Chrome","Mon Dec 30 08:48:31 GMT 2024","passed","Mon Dec 30 08:48:43 GMT 2024","","Dropdown.spec.js","",""
"","30577","Place Order","Google Chrome","Fri Feb 14 18:08:36 GMT 2025","broken","Fri Feb 14 18:09:07 GMT 2025","","WebAPI.spec.js","",""
"","24293","View Product Details","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:08:59 GMT 2025","","DashboardPageTest.spec.js","",""
"","472","Delete User","Google Chrome","Fri Feb 14 18:08:36 GMT 2025","passed","Fri Feb 14 18:08:36 GMT 2025","","RestApi.spec.js","",""
"","23079","Check the login invalid credentials sazidahmednx26@yopmail.com","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:08:58 GMT 2025","","LoginwithMultiple.spec.js","",""
"","10186","specific element  screenshot","Google Chrome","Tue Dec 31 10:06:48 GMT 2024","passed","Tue Dec 31 10:06:58 GMT 2024","","Visualtest.spec.js","",""
"","25185","Date Picker","Google Chrome","Fri Feb 14 18:08:35 GMT 2025","passed","Fri Feb 14 18:09:00 GMT 2025","","Datepratice.spec.js","",""
