"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12825","Add to Cart","Google Chrome","Tue Feb 11 11:29:44 UTC 2025","passed","Tue Feb 11 11:29:57 UTC 2025","","DashboardPageTest.spec.js","",""
"","26702","Place Order","Google Chrome","Tue Feb 11 11:30:01 UTC 2025","passed","Tue Feb 11 11:30:28 UTC 2025","","WebAPI.spec.js","",""
"","332","Update User one data","Google Chrome","Tue Feb 11 11:30:01 UTC 2025","passed","Tue Feb 11 11:30:01 UTC 2025","","RestApi.spec.js","",""
"","4055","Check the login invalid credentials sazidahmednx233@yopmail.com","Google Chrome","Sat Dec 28 07:11:53 UTC 2024","passed","Sat Dec 28 07:11:57 UTC 2024","","LoginwithMultiple.spec.js","",""
"","11065","Check the login invalid credentials","Google Chrome","Tue Feb 11 11:29:44 UTC 2025","passed","Tue Feb 11 11:29:55 UTC 2025","","LoginPageTest.spec.js","",""
"","0","Check the login valid credentials sazidahmednx26@yopmail.com","Google Chrome","Tue Feb 11 11:29:59 UTC 2025","skipped","Tue Feb 11 11:29:59 UTC 2025","","LoginwithMultiple.spec.js","",""
"","12131","Place Order","Google Chrome","Tue Dec 31 10:06:49 UTC 2024","passed","Tue Dec 31 10:07:01 UTC 2024","","WebApi3.spec.js","",""
"","10297","Date Picker","Google Chrome","Tue Feb 11 11:29:44 UTC 2025","passed","Tue Feb 11 11:29:54 UTC 2025","","Datepratice.spec.js","",""
"","7252","Check the login valid credentials","Google Chrome","Tue Feb 11 11:29:55 UTC 2025","passed","Tue Feb 11 11:30:03 UTC 2025","","LoginTestJSON.spec.js","",""
"","2","Check the login valid credentials sazidahmednx233@yopmail.com","Google Chrome","Sat Dec 28 07:11:52 UTC 2024","skipped","Sat Dec 28 07:11:52 UTC 2024","","LoginwithMultiple.spec.js","",""
"","11736","first test with page fixture","Google Chrome","Tue Feb 11 11:29:44 UTC 2025","passed","Tue Feb 11 11:29:56 UTC 2025","","firstTest.spec.js","",""
"","10604","Check the login invalid credentials sazidahmednx21@yopmail.com","Google Chrome","Tue Feb 11 11:29:59 UTC 2025","passed","Tue Feb 11 11:30:09 UTC 2025","","LoginwithMultiple.spec.js","",""
"","10201","Special Locator Pratcice","Google Chrome","Tue Feb 11 11:29:59 UTC 2025","passed","Tue Feb 11 11:30:10 UTC 2025","","NewLoca.spec.js","",""
"","10222","Check the login invalid credentials sazidahmednx26@yopmail.com","Google Chrome","Tue Feb 11 11:29:59 UTC 2025","passed","Tue Feb 11 11:30:09 UTC 2025","","LoginwithMultiple.spec.js","",""
