"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13948","View Product Details","Google Chrome","Wed Feb 26 17:05:53 UTC 2025","passed","Wed Feb 26 17:06:07 UTC 2025","","DashboardPageTest.spec.js","",""
"","28606","Place Order","Google Chrome","Wed Feb 26 17:06:26 UTC 2025","passed","Wed Feb 26 17:06:55 UTC 2025","","E2Eautomation.spec.js","",""
"","311","Update User","Google Chrome","Wed Feb 26 17:06:11 UTC 2025","passed","Wed Feb 26 17:06:11 UTC 2025","","RestApi.spec.js","",""
"","284","Delete User","Google Chrome","Wed Feb 26 17:06:12 UTC 2025","passed","Wed Feb 26 17:06:12 UTC 2025","","RestApi.spec.js","",""
"","6753","Check the login invalid credentials","Google Chrome","Wed Feb 26 17:06:06 UTC 2025","passed","Wed Feb 26 17:06:13 UTC 2025","","LoginPageTest.spec.js","",""
"","15581","Add to Cart","Google Chrome","Wed Feb 26 17:05:53 UTC 2025","passed","Wed Feb 26 17:06:08 UTC 2025","","DashboardPageTest.spec.js","",""
"","11116","test","Google Chrome","Wed Feb 26 17:05:53 UTC 2025","passed","Wed Feb 26 17:06:04 UTC 2025","","firstTest.spec.js","",""
"","11371","Check the login invalid credentials sazidahmednx21@yopmail.com","Google Chrome","Wed Feb 26 17:06:09 UTC 2025","passed","Wed Feb 26 17:06:20 UTC 2025","","LoginwithMultiple.spec.js","",""
"","414","Update User one data","Google Chrome","Wed Feb 26 17:06:11 UTC 2025","passed","Wed Feb 26 17:06:12 UTC 2025","","RestApi.spec.js","",""
"","4","Check the login valid credentials sazidahmednx26@yopmail.com","Google Chrome","Wed Feb 26 17:06:09 UTC 2025","skipped","Wed Feb 26 17:06:09 UTC 2025","","LoginwithMultiple.spec.js","",""
"","8800","Check the login valid credentials","Google Chrome","Wed Feb 26 17:06:07 UTC 2025","passed","Wed Feb 26 17:06:15 UTC 2025","","LoginTestJSON.spec.js","",""
"","18714","frame test","Google Chrome","Wed Feb 26 17:05:53 UTC 2025","passed","Wed Feb 26 17:06:12 UTC 2025","","Frame.spec.js","",""
"","9766","Child window","Google Chrome","Wed Feb 26 17:06:17 UTC 2025","passed","Wed Feb 26 17:06:27 UTC 2025","","WindowHand.spec.js","",""
"","9","Place Order","Google Chrome","Wed Feb 26 17:06:22 UTC 2025","failed","Wed Feb 26 17:06:22 UTC 2025","","WebApi3.spec.js","",""
"","14323","first test with page fixture","Google Chrome","Wed Feb 26 17:05:52 UTC 2025","passed","Wed Feb 26 17:06:07 UTC 2025","","firstTest.spec.js","",""
"","304","Create User","Google Chrome","Wed Feb 26 17:06:10 UTC 2025","passed","Wed Feb 26 17:06:11 UTC 2025","","RestApi.spec.js","",""
"","11803","Upload File","Google Chrome","Wed Feb 26 17:05:53 UTC 2025","passed","Wed Feb 26 17:06:04 UTC 2025","","Dropdown.spec.js","",""
"","15908","Date Picker","Google Chrome","Wed Feb 26 17:05:53 UTC 2025","passed","Wed Feb 26 17:06:09 UTC 2025","","Datepratice.spec.js","",""
"","12951","Check the login valid credentials","Google Chrome","Wed Feb 26 17:05:53 UTC 2025","passed","Wed Feb 26 17:06:06 UTC 2025","","LoginPageTest.spec.js","",""
"","9710","Special Locator Pratcice","Google Chrome","Wed Feb 26 17:06:10 UTC 2025","passed","Wed Feb 26 17:06:20 UTC 2025","","NewLoca.spec.js","",""
"","10103","Check the login invalid credentials sazidahmednx23@yopmail.com","Google Chrome","Wed Feb 26 17:06:09 UTC 2025","passed","Wed Feb 26 17:06:19 UTC 2025","","LoginwithMultiple.spec.js","",""
"","25421","Place Order","Google Chrome","Wed Feb 26 17:06:57 UTC 2025","passed","Wed Feb 26 17:07:22 UTC 2025","","WebApi2.spec.js","",""
"","338","Get User","Google Chrome","Wed Feb 26 17:06:10 UTC 2025","passed","Wed Feb 26 17:06:10 UTC 2025","","RestApi.spec.js","",""
"","3","Check the login valid credentials sazidahmednx21@yopmail.com","Google Chrome","Wed Feb 26 17:06:09 UTC 2025","skipped","Wed Feb 26 17:06:09 UTC 2025","","LoginwithMultiple.spec.js","",""
"","26881","Place Order","Google Chrome","Wed Feb 26 17:06:15 UTC 2025","passed","Wed Feb 26 17:06:42 UTC 2025","","WebAPI.spec.js","",""
"","11234","Another Login test","Google Chrome","Wed Feb 26 17:05:53 UTC 2025","passed","Wed Feb 26 17:06:04 UTC 2025","","Dropdown.spec.js","",""
"","7472","Check the login invalid credentials","Google Chrome","Wed Feb 26 17:06:07 UTC 2025","passed","Wed Feb 26 17:06:15 UTC 2025","","LoginTestJSON.spec.js","",""
"","8978","Child window handling another way","Google Chrome","Wed Feb 26 17:06:20 UTC 2025","passed","Wed Feb 26 17:06:29 UTC 2025","","WindowHand.spec.js","",""
"","8250","Login with valid credentials","Google Chrome","Wed Feb 26 17:06:12 UTC 2025","passed","Wed Feb 26 17:06:20 UTC 2025","","Uibasics.spec.js","",""
"","1","Check the login valid credentials sazidahmednx23@yopmail.com","Google Chrome","Wed Feb 26 17:06:09 UTC 2025","skipped","Wed Feb 26 17:06:09 UTC 2025","","LoginwithMultiple.spec.js","",""
"","9866","Check the login invalid credentials sazidahmednx26@yopmail.com","Google Chrome","Wed Feb 26 17:06:09 UTC 2025","passed","Wed Feb 26 17:06:19 UTC 2025","","LoginwithMultiple.spec.js","",""
